id,current_satisfaction_score,last_evaluation_satisfaction_score,number_projects,average_montly_hours,time_spent_at_company,promotion_in_last_5_years,department,salary
6138,50,73,4,271,2,0,hr,51000
6142,58,84,3,258,4,0,support,57000
6155,79,97,5,208,4,0,technical,124000
6166,78,66,4,258,3,0,sales,66000
6171,85,57,5,210,3,0,sales,70000
6181,68,89,5,218,5,0,sales,54000
6192,59,49,5,122,5,0,technical,104000
6201,76,77,4,223,3,0,IT,54000
6211,24,77,5,178,5,0,sales,67000
6220,61,64,3,245,2,0,product_mng,132000
6236,38,86,6,139,6,0,technical,148000
6237,99,61,3,167,3,0,sales,146000
6238,21,98,6,208,5,0,product_mng,73000
6255,88,100,5,219,6,0,technical,63000
6261,82,49,5,185,3,0,sales,56000
6276,68,40,3,213,5,1,sales,61000
6278,69,76,3,153,3,0,technical,134000
6295,15,37,2,167,3,0,sales,59000
6307,83,52,5,217,3,0,RandD,73000
6324,10,94,6,287,4,0,technical,141000
6340,81,90,4,270,10,0,accounting,112000
6355,38,49,2,132,3,0,customer_support,57000
6364,96,93,4,260,3,0,support,122000
6366,43,47,2,144,3,0,hr,132000
6377,27,69,2,177,5,0,RandD,58000
6386,32,86,4,214,5,0,sales,117000
6389,51,74,6,98,3,0,support,71000
6400,43,57,2,135,3,0,support,54000
6416,87,87,5,207,2,0,sales,172000
6426,71,57,2,183,4,0,sales,70000
6442,88,77,4,224,5,0,hr,73000
6452,88,86,3,187,3,0,marketing,72000
6463,91,60,4,235,4,0,marketing,61000
6479,60,63,5,267,3,0,support,52000
6491,33,64,2,274,3,0,technical,160000
6493,59,49,7,263,4,0,technical,130000
6507,31,42,2,169,5,0,IT,70000
6518,99,62,4,140,2,0,support,64000
6530,89,88,3,203,3,0,accounting,201000
6538,9,90,7,296,4,0,technical,137000
6549,98,61,3,226,2,0,hr,72000
6553,75,95,4,177,3,0,accounting,63000
6557,92,65,3,176,3,0,IT,54000
6571,48,51,3,136,3,0,marketing,68000
6585,91,82,2,241,3,0,sales,144000
6595,35,54,3,138,4,0,support,71000
6601,88,82,4,109,2,0,support,107000
6607,9,82,6,250,4,0,customer_support,60000
6619,9,95,7,256,4,0,marketing,119000
6629,9,80,6,301,5,0,IT,105000
6645,90,97,4,258,5,0,accounting,64000
6650,41,54,2,135,3,0,sales,71000
6663,59,48,3,197,3,0,product_mng,109000
6670,40,56,2,148,3,0,technical,131000
6679,61,51,6,163,6,0,technical,56000
6685,89,83,3,164,3,0,IT,50000
6698,11,83,6,282,4,0,sales,71000
6701,72,80,3,219,3,0,marketing,137000
6706,10,88,7,282,4,0,support,52000
6709,10,86,6,247,4,0,IT,102000
6723,38,56,2,161,3,0,RandD,107000
6738,92,89,4,241,5,0,technical,59000
6747,70,99,3,167,3,0,sales,57000
6764,11,84,6,300,5,0,customer_support,71000
6768,24,74,3,269,4,0,support,120000
6781,10,91,7,297,4,0,technical,62000
6797,45,62,6,129,5,0,support,52000
6800,97,53,4,247,3,0,support,51000
6808,70,73,3,194,2,0,RandD,56000
6811,44,51,2,145,3,0,support,57000
6820,75,97,5,243,6,0,technical,106000
6837,10,94,7,281,4,0,technical,141000
6848,37,46,2,149,3,0,marketing,167000
6849,68,57,5,187,4,0,technical,223000
6857,74,77,3,211,3,0,management,224000
6873,74,98,3,166,3,1,management,160000
6884,43,47,2,128,3,0,technical,132000
6899,78,100,5,236,5,0,sales,142000
6915,41,50,2,153,3,0,technical,125000
6919,69,72,2,190,2,0,technical,109000
6923,80,77,4,205,2,0,sales,70000
6939,86,83,4,208,3,0,IT,56000
6950,37,72,3,183,2,0,sales,72000
6958,40,49,2,143,3,0,product_mng,123000
6974,14,74,4,117,5,0,accounting,133000
6976,18,57,6,238,6,0,marketing,70000
6986,76,93,4,187,4,0,marketing,73000
6989,61,74,3,160,3,0,marketing,112000
6992,87,90,5,252,5,0,IT,56000
6996,66,57,3,161,2,0,RandD,105000
7001,82,97,5,263,5,0,human_resources,119000
7010,57,59,4,250,2,0,support,56000
7024,54,67,3,243,2,0,product_mng,146000
7030,59,51,3,203,2,0,IT,118000
7039,67,89,2,173,3,0,marketing,57000
7048,67,68,3,189,3,0,sales,50000
7065,92,82,3,185,3,0,support,73000
7080,40,65,2,296,5,0,sales,121000
7088,30,80,6,250,3,0,support,62000
7090,66,77,5,236,3,0,sales,154000
7099,38,46,2,160,3,0,support,69000
7115,70,63,3,209,3,0,technical,69000
7128,92,85,3,151,6,0,sales,68000
7133,10,93,6,269,4,0,IT,71000
7139,41,47,4,104,3,0,sales,66000
7156,59,100,3,156,4,0,accounting,69000
7166,38,55,2,147,3,0,sales,70000
7173,66,74,4,179,3,0,accounting,63000
7176,100,93,5,182,3,0,support,139000
7189,76,56,5,222,10,0,management,164000
7192,75,56,3,207,3,0,sales,73000
7203,9,86,7,309,4,0,technical,60000
7208,85,64,5,256,7,0,product_mng,61000
7224,15,56,4,214,5,0,sales,152000
7236,92,76,3,171,2,0,sales,127000
7247,87,84,3,172,3,0,sales,106000
7255,82,85,5,248,5,0,sales,72000
7259,91,94,4,264,4,0,technical,58000
7266,39,91,2,212,2,0,management,205000
7270,50,69,4,177,2,0,support,70000
7286,98,90,4,247,2,0,technical,130000
7287,58,67,5,133,10,0,technical,130000
7295,32,41,3,138,3,0,technical,123000
7309,78,100,3,139,3,0,support,72000
7314,63,50,4,172,2,0,technical,52000
7321,90,99,5,260,5,0,sales,68000
7323,50,68,3,245,4,0,marketing,135000
7325,97,76,3,147,3,0,support,59000
7332,82,93,3,247,3,0,technical,146000
7343,62,73,3,158,3,0,sales,52000
7351,15,80,5,151,2,0,sales,56000
7358,51,53,3,223,2,0,accounting,53000
7362,87,90,5,252,5,0,IT,58000
7378,19,94,4,196,5,0,technical,73000
7393,60,77,4,229,2,0,sales,63000
7396,53,59,2,201,3,0,hr,124000
7400,14,70,5,236,3,0,sales,134000
7413,68,41,3,106,6,0,sales,69000
7415,55,66,3,164,2,0,technical,51000
7425,86,93,5,223,5,0,RandD,131000
7437,9,97,7,254,4,0,RandD,114000
7454,73,69,4,171,3,0,product_mng,137000
7471,68,66,3,238,2,0,management,143000
7479,41,46,2,128,3,0,accounting,63000
7487,83,78,3,257,2,0,sales,68000
7498,51,88,3,202,4,0,hr,73000
7506,78,100,4,253,5,0,marketing,54000
7508,57,65,4,265,3,0,technical,72000
7518,24,42,5,210,5,0,accounting,58000
7525,38,51,2,120,3,0,RandD,64000
7537,32,66,3,144,2,0,support,73000
7552,59,79,4,209,2,0,technical,101000
7564,37,49,2,138,3,0,technical,66000
7577,64,66,3,188,4,0,sales,116000
7578,43,46,2,149,3,0,technical,149000
7592,68,71,5,135,4,0,marketing,134000
7597,75,92,3,211,3,0,sales,124000
7614,11,93,5,140,5,0,hr,107000
7626,56,63,4,204,4,0,marketing,121000
7643,100,85,3,150,3,0,technical,58000
7645,65,51,4,157,3,0,sales,121000
7659,14,75,4,277,5,0,sales,104000
7660,85,80,4,248,3,0,technical,52000
7664,36,39,3,98,3,0,technical,65000
7680,99,80,3,209,2,0,support,119000
7690,79,72,3,216,4,0,support,66000
7691,39,50,2,136,3,0,management,65000
7692,40,53,2,151,3,0,marketing,72000
7697,18,73,4,219,5,0,sales,145000
7702,30,76,5,224,2,0,product_mng,108000
7705,14,83,5,153,5,0,sales,122000
7721,87,59,5,261,3,0,IT,125000
7723,42,53,2,142,3,0,sales,68000
7724,10,89,7,291,4,0,support,107000
7731,15,40,3,236,5,0,hr,121000
7741,40,61,3,165,2,0,RandD,71000
7756,56,64,3,270,3,0,support,130000
7759,80,55,4,269,3,0,sales,181000
7762,53,80,2,225,7,1,management,162000
7770,32,40,2,132,3,0,technical,51000
7779,78,57,3,209,3,0,product_mng,121000
7787,70,88,4,245,2,0,support,69000
7800,85,96,5,165,5,0,technical,123000
7806,70,63,3,157,2,0,RandD,118000
7809,89,95,4,275,5,0,technical,102000
7819,64,99,5,262,5,0,sales,62000
7826,85,66,3,234,3,0,sales,101000
7830,65,67,3,245,3,0,sales,143000
7834,67,81,4,168,2,0,support,201000
7836,29,81,3,189,6,0,technical,63000
7844,48,84,3,146,2,0,sales,127000
7851,49,55,2,173,3,0,technical,145000
7859,48,89,3,261,2,0,support,102000
7861,65,78,4,205,2,0,support,110000
7870,79,54,5,212,4,0,marketing,142000
7887,96,87,5,202,2,0,marketing,54000
7888,94,58,4,216,3,0,management,67000
7899,11,84,6,251,4,0,technical,132000
7901,54,95,3,221,3,0,support,122000
7914,71,74,3,250,3,0,support,54000
7918,81,51,3,247,2,0,support,143000
7924,73,85,5,224,4,0,IT,63000
7937,76,89,4,224,2,0,product_mng,57000
7950,29,43,3,162,4,0,IT,134000
7955,55,43,3,120,6,0,accounting,100000
7964,52,79,4,234,3,0,support,74000
7979,36,48,2,145,3,0,hr,60000
7988,52,82,3,192,3,0,technical,63000
7990,45,76,4,143,2,0,support,131000
8003,89,66,4,235,3,0,IT,157000
8012,10,81,6,245,4,0,support,57000
8027,77,74,2,187,6,0,RandD,130000
8033,62,91,4,231,3,0,technical,52000
8050,91,70,3,193,2,0,IT,66000
8054,66,56,3,169,2,0,support,128000
8055,25,53,4,160,4,0,technical,132000
8071,38,52,2,171,3,0,accounting,102000
8077,69,76,5,255,6,0,technical,57000
8088,42,57,2,154,3,0,marketing,129000
8095,80,80,3,175,2,0,RandD,140000
8097,15,76,5,277,4,0,marketing,64000
8112,74,79,5,241,3,0,technical,58000
8117,69,72,4,185,10,0,management,188000
8122,100,84,3,215,2,0,sales,107000
8132,64,41,3,231,6,0,technical,139000
8140,67,92,4,156,2,0,support,120000
8144,37,45,2,160,3,0,marketing,120000
8150,44,51,2,134,3,0,hr,127000
8151,83,72,2,226,3,0,technical,72000
8153,90,62,3,254,3,0,technical,140000
8154,95,53,4,143,3,0,support,61000
8157,97,52,5,149,3,0,sales,120000
8161,54,48,6,196,2,0,hr,131000
8171,41,56,2,154,3,1,support,110000
8179,54,100,3,169,2,0,support,114000
8192,56,81,4,188,3,0,marketing,50000
8199,99,98,5,241,2,0,it,106000
8212,88,81,4,179,3,0,management,165000
8226,37,48,2,159,3,0,sales,53000
8240,91,65,5,174,2,0,technical,121000
8250,75,78,4,158,5,0,RandD,124000
8260,100,86,4,161,2,0,marketing,153000
8270,50,97,4,269,3,0,sales,66000
8278,69,89,5,201,2,0,support,69000
8280,50,60,2,177,3,0,IT,142000
8288,47,44,5,255,5,0,support,71000
8299,84,79,4,222,3,0,RandD,57000
8314,25,89,4,154,10,0,management,168000
8315,48,99,5,180,2,0,accounting,70000
8326,73,97,3,174,3,0,sales,65000
8335,96,95,3,236,2,0,support,139000
8344,78,98,5,239,6,0,marketing,64000
8352,60,80,4,253,2,0,technical,61000
8369,76,45,4,147,2,0,product_mng,111000
8370,95,70,4,267,3,0,technical,67000
8386,85,80,4,254,2,0,product_mng,58000
8392,86,82,3,263,6,0,sales,161000
8395,64,57,3,179,3,0,product_support,123000
8411,79,83,4,250,2,0,management,131000
8420,83,57,2,222,2,0,sales,123000
8434,100,88,4,191,4,0,technical,71000
8435,86,82,4,274,2,0,sales,52000
8440,42,47,2,135,3,0,sales,69000
8444,29,85,2,248,6,0,support,69000
8458,77,49,2,286,7,0,marketing,57000
8463,50,59,4,157,2,0,technical,55000
8474,65,69,6,131,5,0,IT,110000
8475,81,77,5,251,2,0,sales,60000
8480,70,53,3,215,7,0,technical,118000
8489,65,70,4,211,2,0,support,74000
8495,37,72,3,121,2,0,sales,54000
8504,53,58,4,134,2,0,technical,56000
8507,69,56,3,240,2,0,support,138000
8519,54,76,5,226,2,0,IT,69000
8522,81,92,5,258,3,1,sales,147000
8537,53,84,3,151,3,0,product_mng,54000
8543,73,76,2,166,3,0,technical,68000
8555,22,60,3,205,6,0,sales,68000
8569,43,54,2,142,3,0,support,68000
8582,91,87,3,199,3,0,sales,120000
8588,70,80,4,183,2,0,support,139000
8603,58,78,3,223,3,0,management,63000
8610,98,71,5,217,3,0,sales,102000
8614,51,56,4,198,2,0,technical,136000
8624,58,91,3,154,10,0,product_mng,197000
8628,74,97,4,228,5,0,hr,58000
8631,97,52,4,207,3,0,product_mng,51000
8646,9,80,6,304,5,0,technical,123000
8652,52,52,4,168,3,0,product_mng,105000
8658,60,77,4,157,4,0,product_mng,66000
8670,14,66,6,142,5,0,support,71000
8681,100,89,3,230,3,0,technical,72000
8693,45,52,2,145,3,0,sales,102000
8694,98,74,3,164,3,0,sales,118000
8701,42,50,2,139,3,0,hr,117000
8713,54,61,4,118,5,0,support,67000
8716,49,57,4,145,2,0,technical,127000
8728,14,79,5,271,4,0,management,189000
8738,10,82,6,269,4,0,support,59000
8749,11,92,7,293,4,0,sales,74000
8762,83,73,5,136,3,0,sales,66000
8766,50,48,3,163,4,0,accounting,72000
8775,74,88,5,183,3,0,accounting,127000
8787,40,56,2,131,3,0,IT,59000
8792,10,93,6,289,4,0,support,55000
8795,54,91,2,156,3,0,sales,56000
8812,77,70,3,145,2,0,product_mng,59000
8825,80,65,3,135,3,1,marketing,63000
8838,41,63,2,145,2,0,product_mng,72000
8854,38,56,2,156,3,0,technical,55000
8864,100,61,4,198,2,0,management,73000
8872,56,85,3,225,3,0,IT,156000
8875,9,91,6,275,4,0,hr,133000
8892,37,56,2,138,3,0,IT,52000
8903,61,96,4,161,3,0,technical,105000
8915,92,78,3,218,3,0,technical,66000
8926,80,51,5,196,3,0,IT,73000
8942,66,66,3,225,3,0,technical,70000
8953,72,80,3,222,3,0,IT,103000
8966,11,92,7,265,4,0,technical,52000
8978,99,84,4,142,10,0,technical,163000
8986,73,90,5,184,3,0,IT,51000
8997,41,47,2,135,3,0,support,57000
9002,43,46,2,239,3,0,sales,143000
9018,52,97,3,185,2,0,sales,52000
9021,50,70,3,159,3,0,hr,58000
9022,41,54,2,133,3,0,sales,133000
9034,94,53,4,183,3,0,IT,127000
9035,78,100,5,236,5,0,sales,148000
9052,65,96,5,226,2,0,marketing,131000
9066,88,87,5,257,3,0,IT,125000
9080,67,93,5,254,3,0,RandD,125000
9097,37,52,4,151,2,0,support,126000
9102,87,97,4,243,3,0,IT,172000
9103,77,59,4,140,3,0,sales,144000
9115,9,89,7,308,5,0,hr,128000
9124,88,59,2,144,3,0,sales,142000
9132,86,91,5,265,5,0,IT,62000
9138,79,61,4,173,2,0,product_mng,74000
9149,66,81,5,135,2,0,management,69000
9163,9,87,6,266,4,0,support,106000
9166,72,51,3,160,3,0,sales,129000
9177,74,96,4,231,5,0,technical,65000
9186,37,46,2,153,3,0,sales,60000
9192,97,41,5,135,6,0,sales,130000
9197,53,79,3,221,10,0,sales,104000
9213,68,61,3,261,5,0,sales,109000
9215,68,56,3,146,3,0,technical,69000
9228,15,93,4,185,5,0,hr,57000
9240,97,68,3,185,2,0,technical,125000
9248,91,77,3,144,3,0,sales,138000
9256,38,49,2,135,3,0,accounting,71000
9264,47,51,6,190,5,1,RandD,113000
9267,91,61,4,135,10,0,accounting,145000
9283,89,70,3,256,4,0,support,122000
9294,80,90,4,136,3,0,technical,73000
9305,62,51,3,222,3,0,technical,124000
9317,92,54,5,141,2,0,RandD,59000
9326,100,81,5,243,3,0,sales,71000
9333,68,85,2,180,6,0,sales,102000
9345,96,89,2,239,6,0,sales,105000
9347,99,81,4,229,2,0,sales,148000
9350,71,68,4,228,2,0,sales,51000
9362,37,50,2,154,3,0,hr,143000
9366,85,91,5,226,5,0,management,148000
9375,57,97,5,126,5,0,sales,131000
9381,100,67,5,241,4,0,RandD,104000
9386,9,86,6,279,4,0,sales,50000
9388,74,63,3,231,3,0,technical,68000
9397,96,59,3,241,3,0,product_mng,71000
9405,11,81,6,266,4,0,sales,145000
9417,67,100,4,145,3,1,sales,113000
9423,58,75,4,253,2,0,sales,50000
9435,20,69,2,160,4,0,sales,72000
9443,82,84,5,244,5,0,sales,74000
9458,41,48,2,145,3,0,accounting,117000
9464,63,91,4,246,3,0,technical,116000
9479,52,45,2,145,3,0,technical,71000
9490,54,64,2,219,3,0,technical,50000
9497,38,50,2,152,3,0,sales,198000
9501,92,65,4,238,2,0,sales,54000
9505,37,49,2,130,3,0,technical,72000
9519,45,47,2,135,3,0,RandD,122000
9536,45,54,2,135,3,0,sales,58000
9540,82,87,4,239,5,0,sales,54000
9549,82,100,4,273,6,0,support,133000
9557,73,52,3,274,2,0,technical,185000
9565,75,63,4,261,3,0,marketing,51000
9569,15,67,4,264,3,0,IT,50000
9583,97,55,4,166,3,0,accounting,174000
9590,15,39,5,229,4,0,sales,55000
9593,92,85,3,207,2,0,support,57000
9600,44,74,4,250,6,0,RandD,105000
9616,76,87,5,245,5,0,sales,71000
9626,57,55,4,177,8,0,sales,69000
9643,87,77,3,190,3,0,management,64000
9647,78,68,5,168,3,0,sales,70000
9663,75,92,3,199,3,0,management,50000
9671,44,53,2,146,3,0,marketing,67000
9679,10,97,7,282,4,0,technical,50000
9685,11,90,6,254,4,0,technical,69000
9686,51,73,4,174,3,0,sales,109000
9691,65,100,4,195,3,0,IT,65000
9706,75,55,5,281,3,0,sales,74000
9714,41,54,2,153,3,0,sales,72000
9728,74,100,4,192,4,0,technical,202000
9743,31,38,3,173,2,0,technical,51000
9754,62,61,6,103,4,0,product_mng,125000
9769,63,57,3,242,3,0,product_mng,56000
9770,98,66,3,150,3,0,hr,122000
9784,38,50,2,153,3,0,support,73000
9786,58,56,3,151,2,0,product_mng,67000
9796,85,87,6,232,6,0,technical,59000
9811,73,96,5,256,6,0,support,129000
9815,51,96,5,268,4,0,sales,53000
9821,78,49,3,194,3,0,sales,100000
9830,90,74,3,260,2,0,support,140000
9840,37,49,2,151,3,0,sales,59000
9846,43,53,2,160,3,0,support,74000
9850,61,78,4,244,4,0,RandD,128000
9867,80,93,3,260,3,0,product_mng,66000
9882,69,78,5,267,2,0,support,66000
9895,46,48,2,129,3,0,sales,67000
9902,27,42,6,173,7,0,sales,129000
9907,85,92,4,275,5,0,support,122000
9918,72,91,3,267,2,0,support,53000
9930,11,97,6,284,4,0,sales,64000
9938,24,46,7,224,5,0,accounting,118000
9946,19,80,6,157,6,0,sales,61000
9955,67,63,3,227,3,0,technical,131000
9958,58,79,5,197,3,0,RandD,104000
9968,64,51,4,177,3,0,technical,58000
9985,80,60,5,217,3,0,management,159000
9999,77,58,4,202,3,0,sales,124000
10008,83,100,5,240,5,0,support,66000
10009,67,78,4,241,4,1,hr,103000
10011,94,58,5,215,2,0,RandD,59000
10021,80,73,5,135,3,0,support,112000
10026,87,51,4,233,3,0,sales,61000
10030,11,94,6,276,4,0,sales,64000
10047,72,67,5,219,3,0,IT,69000
10048,27,47,5,217,6,0,accounting,119000
10055,44,54,2,127,3,0,management,102000
10063,22,62,3,180,3,0,support,68000
10068,19,93,3,110,4,0,technical,123000
10073,55,84,3,237,3,0,accounting,63000
10084,80,53,3,255,5,0,technical,150000
10101,80,67,3,178,3,0,IT,69000
10109,60,95,4,164,4,0,sales,104000
10121,60,77,3,202,3,0,sales,70000
10128,75,59,5,149,4,0,sales,131000
10145,86,69,5,157,3,0,IT,59000
10156,82,63,5,177,3,0,IT,71000
10162,61,89,3,201,2,0,technical,73000
10173,44,52,2,149,3,0,marketing,61000
10182,95,90,2,129,5,0,marketing,145000
10198,82,59,5,170,3,0,product_mng,53000
10211,23,40,6,110,4,0,marketing,54000
10223,46,53,2,161,3,0,sales,59000
10238,41,48,2,148,3,0,sales,56000
10250,75,99,2,237,5,0,product_mng,55000
10255,79,77,6,233,6,0,sales,72000
10272,89,84,5,168,2,0,RandD,55000
10277,67,61,4,145,4,0,hr,70000
10281,68,67,4,135,2,0,accounting,117000
10298,51,63,4,198,2,0,management,149000
10313,14,83,5,175,6,0,IT,60000
10321,11,91,6,308,4,0,IT,56000
10330,40,52,2,155,3,0,marketing,64000
10344,69,73,4,233,2,0,accounting,63000
10348,90,65,4,221,3,0,technical,68000
10351,89,89,4,265,2,0,sales,115000
10358,74,95,3,157,4,0,technical,127000
10366,51,69,3,145,2,0,RandD,131000
10381,58,84,5,228,3,0,product_mng,141000
10382,45,45,2,154,3,0,support,149000
10394,33,88,6,219,5,0,support,63000
10410,87,71,6,224,6,0,sales,191000
10422,66,51,4,254,2,0,sales,111000
10432,23,50,5,100,3,0,sales,105000
10441,71,77,4,142,2,0,hr,113000
10452,85,100,5,244,2,0,product_mng,108000
10453,76,73,4,148,2,0,hr,63000
10455,44,55,2,135,3,0,support,69000
10461,9,62,6,294,4,0,accounting,57000
10472,45,75,3,122,3,0,support,220000
10475,49,54,4,247,3,0,sales,132000
10489,85,87,4,152,7,0,sales,51000
10505,92,85,5,259,5,0,sales,57000
10508,65,94,4,184,7,0,sales,139000
10509,91,61,4,176,3,0,sales,53000
10510,40,46,2,109,3,0,IT,68000
10527,74,59,4,155,3,0,support,146000
10536,73,78,5,150,3,0,sales,58000
10552,10,89,7,285,4,0,technical,63000
10555,37,41,2,113,3,1,RandD,113000
10571,99,60,3,262,2,0,marketing,73000
10582,40,49,2,160,3,0,marketing,54000
10598,83,64,4,210,3,0,management,106000
10610,64,86,4,143,2,0,support,141000
10626,41,48,2,136,3,0,marketing,134000
10627,74,63,3,180,2,0,hr,51000
10641,59,95,5,254,2,0,technical,146000
10646,77,99,4,260,3,0,sales,114000
10655,81,83,3,133,3,0,IT,104000
10669,24,48,4,145,3,0,technical,156000
10673,38,50,2,151,3,0,hr,60000
10685,65,100,4,229,4,0,product_mng,68000
10689,73,91,4,241,2,0,accounting,105000
10696,88,89,4,213,3,0,management,116000
10697,82,49,4,276,4,0,support,69000
10701,21,77,6,215,4,0,sales,117000
10711,80,75,4,224,3,1,sales,135000
10715,43,47,2,144,3,0,hr,120000
10722,67,85,3,160,4,0,hr,148000
10723,90,99,3,259,3,0,technical,127000
10739,67,71,4,178,6,0,IT,51000
10751,86,65,4,134,4,0,sales,56000
10762,79,73,4,226,3,0,sales,105000
10774,54,61,4,151,4,0,support,145000
10778,63,80,4,256,4,0,management,125000
10780,74,69,3,230,2,0,support,104000
10791,39,64,3,152,2,0,sales,58000
10795,10,94,6,297,5,0,marketing,61000
10798,52,58,4,134,3,0,technical,52000
10805,39,48,3,169,3,0,support,108000
10820,76,75,3,239,2,0,hr,54000
10826,82,82,4,164,2,0,sales,70000
10830,43,52,2,146,3,0,technical,63000
10833,94,90,2,263,3,0,RandD,54000
10837,39,53,2,146,3,0,sales,63000
10849,77,79,3,200,4,0,hr,111000
10852,82,51,3,234,3,0,sales,73000
